,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
5,3,23 : 40_tanh : 2_tanh,2,100,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.5034519963916899,0.7833333333333333,test
6,3,23 : 40_tanh : 2_tanh,3,100,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.509635776713654,0.7782962962962963,train
7,3,23 : 40_tanh : 2_tanh,3,100,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.5020079073343977,0.7833333333333333,test
8,3,23 : 40_tanh : 2_tanh,4,100,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5083286569403521,0.7782962962962963,train
9,3,23 : 40_tanh : 2_tanh,4,100,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5008817384726992,0.7833333333333333,test
10,3,23 : 40_tanh : 2_tanh,5,100,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5073188117050579,0.7782962962962963,train
11,3,23 : 40_tanh : 2_tanh,5,100,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5000273499050923,0.7833333333333333,test
12,3,23 : 40_tanh : 2_tanh,6,100,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5065639383232438,0.7782962962962963,train
13,3,23 : 40_tanh : 2_tanh,6,100,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.49940336853553274,0.7833333333333333,test
0,3,23 : 40_sigmoid : 2_sigmoid,0,100,0.01,0.01,0.9,0.0001,0.0001,0.7604880259631526,0.3356296296296296,train
1,3,23 : 40_sigmoid : 2_sigmoid,0,100,0.01,0.01,0.9,0.0001,0.0001,0.7640385906428073,0.3293333333333333,test
2,3,23 : 40_sigmoid : 2_sigmoid,1,100,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.7011672881880233,0.4577407407407407,train
3,3,23 : 40_sigmoid : 2_sigmoid,1,100,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.7038554388631214,0.457,test
4,3,23 : 40_sigmoid : 2_sigmoid,2,100,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.6574333866569462,0.6266296296296296,train
5,3,23 : 40_sigmoid : 2_sigmoid,2,100,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.6593753811706322,0.62,test
6,3,23 : 40_sigmoid : 2_sigmoid,3,100,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.6251043196849696,0.7577407407407407,train
7,3,23 : 40_sigmoid : 2_sigmoid,3,100,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.6264005711359951,0.7546666666666667,test
8,3,23 : 40_sigmoid : 2_sigmoid,4,100,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.6010719747211501,0.7792592592592592,train
9,3,23 : 40_sigmoid : 2_sigmoid,4,100,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.601808249453903,0.776,test
10,3,23 : 40_sigmoid : 2_sigmoid,5,100,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5830808351487891,0.790074074074074,train
11,3,23 : 40_sigmoid : 2_sigmoid,5,100,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5833298758936115,0.7886666666666666,test
