,number of layers,nodes per layer,epoch,batch size,learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
78,3,23 : 40_sigmoid : 2_sigmoid,39,50,0.13824884792626724,0.9,1e-08,0.0001,0.46840656559815536,0.7974814814814815,train
79,3,23 : 40_sigmoid : 2_sigmoid,39,50,0.13824884792626724,0.9,1e-08,0.0001,0.46341033234495693,0.7973333333333333,test
80,3,23 : 40_sigmoid : 2_sigmoid,40,50,0.13636363636363635,0.9,1e-08,0.0001,0.4684022138450774,0.7966666666666666,train
81,3,23 : 40_sigmoid : 2_sigmoid,40,50,0.13636363636363635,0.9,1e-08,0.0001,0.4631064148518783,0.7946666666666666,test
82,3,23 : 40_sigmoid : 2_sigmoid,41,50,0.13452914798206275,0.9,1e-08,0.0001,0.46805189305000516,0.7976296296296296,train
83,3,23 : 40_sigmoid : 2_sigmoid,41,50,0.13452914798206275,0.9,1e-08,0.0001,0.4629756500143423,0.7976666666666666,test
84,3,23 : 40_sigmoid : 2_sigmoid,42,50,0.1327433628318584,0.9,1e-08,0.0001,0.468018443437521,0.7995925925925926,train
85,3,23 : 40_sigmoid : 2_sigmoid,42,50,0.1327433628318584,0.9,1e-08,0.0001,0.4631440200573769,0.7973333333333333,test
86,3,23 : 40_sigmoid : 2_sigmoid,43,50,0.13100436681222707,0.9,1e-08,0.0001,0.4677153645069321,0.7972592592592592,train
87,3,23 : 40_sigmoid : 2_sigmoid,43,50,0.13100436681222707,0.9,1e-08,0.0001,0.4624440081681487,0.796,test
88,3,23 : 40_sigmoid : 2_sigmoid,44,50,0.1293103448275862,0.9,1e-08,0.0001,0.468422043438188,0.7941481481481482,train
89,3,23 : 40_sigmoid : 2_sigmoid,44,50,0.1293103448275862,0.9,1e-08,0.0001,0.4627539985277427,0.792,test
90,3,23 : 40_sigmoid : 2_sigmoid,45,50,0.12765957446808512,0.9,1e-08,0.0001,0.4675054822477809,0.7971481481481482,train
91,3,23 : 40_sigmoid : 2_sigmoid,45,50,0.12765957446808512,0.9,1e-08,0.0001,0.4621107621186412,0.796,test
92,3,23 : 40_sigmoid : 2_sigmoid,46,50,0.12605042016806722,0.9,1e-08,0.0001,0.4679641617983096,0.8009259259259259,train
93,3,23 : 40_sigmoid : 2_sigmoid,46,50,0.12605042016806722,0.9,1e-08,0.0001,0.46321625961006213,0.7993333333333333,test
94,3,23 : 40_sigmoid : 2_sigmoid,47,50,0.12448132780082989,0.9,1e-08,0.0001,0.46713156399159994,0.7987407407407408,train
95,3,23 : 40_sigmoid : 2_sigmoid,47,50,0.12448132780082989,0.9,1e-08,0.0001,0.46193252516165356,0.798,test
96,3,23 : 40_sigmoid : 2_sigmoid,48,50,0.12295081967213117,0.9,1e-08,0.0001,0.46722959246257034,0.8002962962962963,train
97,3,23 : 40_sigmoid : 2_sigmoid,48,50,0.12295081967213117,0.9,1e-08,0.0001,0.4622561874220436,0.7973333333333333,test
98,3,23 : 40_sigmoid : 2_sigmoid,49,50,0.12145748987854252,0.9,1e-08,0.0001,0.4670117487254048,0.7991111111111111,train
99,3,23 : 40_sigmoid : 2_sigmoid,49,50,0.12145748987854252,0.9,1e-08,0.0001,0.461786536261641,0.798,test
100,3,23 : 40_sigmoid : 2_sigmoid,50,50,0.12000000000000004,0.9,1e-08,0.0001,0.4673031195059645,0.797,train
101,3,23 : 40_sigmoid : 2_sigmoid,50,50,0.12000000000000004,0.9,1e-08,0.0001,0.4617753420074922,0.796,test
102,3,23 : 40_sigmoid : 2_sigmoid,51,50,0.11857707509881425,0.9,1e-08,0.0001,0.4672522697507889,0.801037037037037,train
103,3,23 : 40_sigmoid : 2_sigmoid,51,50,0.11857707509881425,0.9,1e-08,0.0001,0.46239429323659914,0.7983333333333333,test
104,3,23 : 40_sigmoid : 2_sigmoid,52,50,0.11718750000000003,0.9,1e-08,0.0001,0.46704826616722644,0.7975925925925926,train
