,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
121,Nan,50,0.0037030668532559,train,58,0.4,1e-06,0.3246753246753246,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
122,Nan,50,0.003990038718940859,test,59,0.4,1e-06,0.32362459546925565,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
123,Nan,50,0.003690069634682998,train,59,0.4,1e-06,0.32362459546925565,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
124,Nan,50,0.004227390018420627,test,60,0.4,1e-06,0.32258064516129026,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
125,Nan,50,0.0036365056031973223,train,60,0.4,1e-06,0.32258064516129026,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
126,Nan,50,0.004034417958492913,test,61,0.4,1e-06,0.32154340836012857,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
127,Nan,50,0.003656404618738922,train,61,0.4,1e-06,0.32154340836012857,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
128,Nan,50,0.004116857190873638,validation,61,0.4,1e-06,0.32154340836012857,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
129,Nan,50,0.0038971619086125035,test,62,0.4,1e-06,0.3205128205128205,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
130,Nan,50,0.0036225862143153013,train,62,0.4,1e-06,0.3205128205128205,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
131,Nan,50,0.003956287034654065,test,63,0.4,1e-06,0.3194888178913738,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
132,Nan,50,0.003705038856094977,train,63,0.4,1e-06,0.3194888178913738,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
133,Nan,50,0.0046567953969211704,validation,63,0.4,1e-06,0.3194888178913738,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
134,Nan,50,0.0038856158439939214,test,64,0.4,1e-06,0.3184713375796178,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
135,Nan,50,0.0036549097735674102,train,64,0.4,1e-06,0.3184713375796178,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
136,Nan,50,0.004275624819331147,test,65,0.4,1e-06,0.31746031746031744,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
137,Nan,50,0.0039132850026467264,train,65,0.4,1e-06,0.31746031746031744,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
138,Nan,50,0.004228290530243328,test,66,0.4,1e-06,0.3164556962025316,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
139,Nan,50,0.0035921130555138913,train,66,0.4,1e-06,0.3164556962025316,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
140,Nan,50,0.003810845678760661,test,67,0.4,1e-06,0.31545741324921134,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
141,Nan,50,0.0039382679885130965,train,67,0.4,1e-06,0.31545741324921134,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
142,Nan,50,0.0039987880284009176,test,68,0.4,1e-06,0.3144654088050314,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
143,Nan,50,0.003601804147276465,train,68,0.4,1e-06,0.3144654088050314,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
144,Nan,50,0.004069952396921208,test,69,0.4,1e-06,0.3134796238244514,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
145,Nan,50,0.0036136337679077615,train,69,0.4,1e-06,0.3134796238244514,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
146,Nan,50,0.0037490397205262246,test,70,0.4,1e-06,0.31249999999999994,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
147,Nan,50,0.003599101221401023,train,70,0.4,1e-06,0.31249999999999994,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
148,Nan,50,0.0025533178512618638,validation,70,0.4,1e-06,0.31249999999999994,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
149,Nan,50,0.005725532515921306,test,71,0.4,1e-06,0.3115264797507788,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
150,Nan,50,0.003450257937683597,train,71,0.4,1e-06,0.3115264797507788,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
151,Nan,50,0.005452731599416079,test,72,0.4,1e-06,0.3105590062111801,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
152,Nan,50,0.0034554654646152504,train,72,0.4,1e-06,0.3105590062111801,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
153,Nan,50,0.005546127435112097,test,73,0.4,1e-06,0.3095975232198142,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
154,Nan,50,0.003590371147555593,train,73,0.4,1e-06,0.3095975232198142,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
155,Nan,50,0.0019757397212442273,validation,73,0.4,1e-06,0.3095975232198142,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
156,Nan,50,0.010364662482416758,test,74,0.4,1e-06,0.3086419753086419,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
157,Nan,50,0.003306812525693532,train,74,0.4,1e-06,0.3086419753086419,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
158,Nan,50,0.009335045707812887,test,75,0.4,1e-06,0.30769230769230765,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
159,Nan,50,0.00308876010040191,train,75,0.4,1e-06,0.30769230769230765,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
160,Nan,50,0.008276855539810652,test,76,0.4,1e-06,0.30674846625766866,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
161,Nan,50,0.0030775685478446053,train,76,0.4,1e-06,0.30674846625766866,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
162,Nan,50,0.00875572194847579,test,77,0.4,1e-06,0.3058103975535168,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
163,Nan,50,0.003031215681474485,train,77,0.4,1e-06,0.3058103975535168,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
164,Nan,50,0.00866432527721294,test,78,0.4,1e-06,0.30487804878048774,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
165,Nan,50,0.0030347402297714516,train,78,0.4,1e-06,0.30487804878048774,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
