, pol order,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
83,,Nan,50,0.003909785304467785,test,41,0.3,0.0001,0.26714158504007124,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
84,,Nan,50,0.004193807329447501,train,42,0.3,0.0001,0.26642984014209586,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
85,,Nan,50,0.004165403124201056,test,42,0.3,0.0001,0.26642984014209586,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
86,,Nan,50,0.005098135461894803,train,43,0.3,0.0001,0.2657218777679362,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
87,,Nan,50,0.0049376855081116715,test,43,0.3,0.0001,0.2657218777679362,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
88,,Nan,50,0.004193404204246478,train,44,0.3,0.0001,0.2650176678445229,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
89,,Nan,50,0.004114038148027077,test,44,0.3,0.0001,0.2650176678445229,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
90,,Nan,50,0.004354474963299354,train,45,0.3,0.0001,0.2643171806167401,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
91,,Nan,50,0.004352063928868136,test,45,0.3,0.0001,0.2643171806167401,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
92,,Nan,50,0.003853023060643933,train,46,0.3,0.0001,0.26362038664323373,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
93,,Nan,50,0.0037783317794851845,test,46,0.3,0.0001,0.26362038664323373,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
94,,Nan,50,0.004330879331025992,train,47,0.3,0.0001,0.26292725679228746,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
95,,Nan,50,0.004150358002488822,test,47,0.3,0.0001,0.26292725679228746,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
96,,Nan,50,0.004264900690071239,train,48,0.3,0.0001,0.2622377622377622,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
97,,Nan,50,0.00421285758186103,test,48,0.3,0.0001,0.2622377622377622,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
98,,Nan,50,0.003982369847215051,train,49,0.3,0.0001,0.26155187445510025,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
99,,Nan,50,0.0039028179610224836,test,49,0.3,0.0001,0.26155187445510025,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
100,,Nan,50,0.003722428719457705,train,50,0.3,0.0001,0.26086956521739124,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
101,,Nan,50,0.0035819118840746166,test,50,0.3,0.0001,0.26086956521739124,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
102,,Nan,50,0.005481579155713848,train,51,0.3,0.0001,0.2601908065915004,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
103,,Nan,50,0.005454768509441555,test,51,0.3,0.0001,0.2601908065915004,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
104,,Nan,50,0.0054157107595645924,train,52,0.3,0.0001,0.25951557093425603,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
105,,Nan,50,0.005408747063046408,test,52,0.3,0.0001,0.25951557093425603,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
106,,Nan,50,0.0041975459840282794,train,53,0.3,0.0001,0.2588438308886971,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
107,,Nan,50,0.004148252702781945,test,53,0.3,0.0001,0.2588438308886971,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
